,domain,path,label,length,url_length,redirection,character_@,dots_in_host_name,dots_in_path,keyword,hyphen
29,en.wikipedia.org,wiki/2008%E2%80%9309_Queens_Park_Rangers_F.C._season,good,69,1,0,0,0,0,0,0
30,fungasoap.net,67SELbosjc358,bad,27,0,0,0,0,0,0,0
31,atsdatabase.com,blog/blog1.php/2009/09/08/iowa-hawkeyes-vs-iowa-state-cyclones-col,good,82,1,0,0,0,0,0,0
32,camkuar.com,1hnsn4,bad,18,0,0,0,0,0,0,0
33,impress-studio.com.pl,Yoolim/View2/docx/index.php,bad,49,2,0,0,0,0,0,0
34,amazon.co.uk,Necessities-Life-quil-vivre-Inuujjutiksaq/dp/B004IIIG6A,good,68,1,0,0,0,0,0,0
35,vrbo.com,211220,good,15,0,0,0,0,0,0,0
36,hollyscoop.com,ashley-judd,good,26,0,0,0,0,0,0,0
37,promocaocielocard2012.6te.net,show/premios/cielo/,bad,49,2,0,0,0,0,0,0
38,io9.com,5405052/1950s-science-fiction-loved-neanderthals-feared-polio,good,69,1,0,0,0,0,0,0
39,recreationparks.net,CA/san-bernardino/cypress-park-fontana,good,58,2,0,0,0,0,0,0
40,home.neopets.com,templates/homepage.phtml?pet_name=Kiwikku,good,58,2,0,0,0,0,0,0
41,cnn.com,COMMUNITY/transcripts/ann_rule_chat.html,good,48,2,0,0,0,0,0,0
42,lneqqkvxxogomu.eu,main.php,bad,26,0,0,0,0,0,0,0
43,91.239.25.251:6892,None,bad,18,0,0,0,0,0,0,0
44,myspace.com,jaymalinowski,good,25,0,0,0,0,0,0,0
45,yesiloglugrup.com,8fh34f3,bad,25,0,0,0,0,0,0,0
46,fuelsavingsecrets.com,,good,22,0,0,0,0,0,0,0
47,amazon.com,Never-Let-Me-Kazuo-Ishiguro/dp/1400078776,good,52,2,0,0,0,0,0,0
48,collegegrad.com,topemployers/company/grassroots-campaigns-inc/,good,62,2,0,0,0,0,0,0
49,hollywood.com,movie/Bondage/6011650,good,35,0,0,0,0,0,0,0
50,saequity.com,wp-includes/SimplePie/XML/~/DHL/tracking2.php,bad,58,2,0,0,0,0,0,0
51,cfl.scout.com,2/751246.html,good,27,0,0,0,0,0,0,0
52,91.239.25.43:6892,None,bad,17,0,0,0,0,0,0,0
53,en.wikipedia.org,wiki/Talk:KTVU,good,31,0,0,0,0,0,0,0
54,babsedgade.ru,gate.php,bad,22,0,0,0,0,0,0,0
55,theparentconnection.info,,good,25,0,0,0,0,0,0,0
56,saldocartao.sodexobr.com,saldocartao/,bad,37,0,0,0,0,0,0,0
57,dsbp.cx,index.php?page=cat.html,good,31,0,0,0,0,0,0,0
58,supremelaw.org,cc/shubb/index.htm,good,33,0,0,0,0,0,0,0
59,province-canada.anglican.org,canons/index.shtml,good,47,2,0,0,0,0,0,0
60,nflwallpaperzone.blogspot.com,2009/11/cincinnati-bengals-wallpaper-logo.html,good,76,1,0,0,0,0,0,0
61,b-r.com,goodwork/,good,17,0,0,0,0,0,0,0
62,gallerydirectart.com,dealer-gallery-of-fine-art-prints---posters-somerset-house-david-mann.html,good,95,1,0,0,0,0,0,0
63,eurobasket.com,team.asp?Cntry=BEL&Team=2638,good,43,0,0,0,0,0,0,0
64,finkbuilt.com,gallery/,good,22,0,0,0,0,0,0,0
65,horseandcountry.tv,news/2011/02/17/2011-bef-futurity-dates-announced,good,68,1,0,0,0,0,0,0
66,manta.com,c/mm05cjf/ktaj-tv,good,27,0,0,0,0,0,0,0
67,cookinggenius.co.uk,wp-content/bot,bad,34,0,0,0,0,0,0,0
68,bestplaces.net,county/california/alameda,good,40,0,0,0,0,0,0,0
69,alkatech.gr,x3z70,bad,17,0,0,0,0,0,0,0
70,lyricstime.com,young-galaxy-the-sun-s-coming-up-and-my-plane-s-going-down-lyrics.html,good,85,1,0,0,0,0,0,0
71,tvnz.co.nz,hunger/show-2301232,good,30,0,0,0,0,0,0,0
72,manta.com,c/mtxhzjf/clark-miller-ranch,good,38,0,0,0,0,0,0,0
73,postdatacenter.com,certifin/processo_verifica.php,bad,49,2,0,0,0,0,0,0
74,canhighways.com,IN/I/469/,good,25,0,0,0,0,0,0,0
75,facebook.com,pages/Tony-McKegney/340455874076,good,45,0,0,0,0,0,0,0
76,nevamoda.ru,Emirates/Emirate.htm,bad,32,0,0,0,0,0,0,0
77,guardian.co.uk,news/datablog/2010/jan/05/cadbury-kraft-brands-takeover-chocolate-data,good,85,1,0,0,0,0,0,0
78,en.metalship.org,bands/Angelcorpse,good,34,0,0,0,0,0,0,0
79,www.glifo.net,redir/pp_users.php,bad,32,0,0,0,0,0,0,0
80,director-online.com,havok/,good,26,0,0,0,0,0,0,0
81,dailyregister.com,obituaries/x481348959/Donald-L-Abell,good,54,2,0,0,0,0,0,0
82,music.yahoo.com,alejandro-sanz/albums/en-concierto-gira-no-es-lo-mismo-2004--195084646,good,86,1,0,0,0,0,0,0
83,personaldemocracy.com,pdf-2009-speakers,good,39,0,0,0,0,0,0,0
84,wearzone.net,post/data,bad,22,0,0,0,0,0,0,0
85,workcapacities.com,jap/www.euronosefi.c/encripted/,bad,50,2,0,0,0,0,0,0
86,aerorfq.com,catalog.php?direction=NEXT&position=3168,good,52,2,0,0,0,0,0,0
87,townofkirkwood.org,,good,19,0,0,0,0,0,0,0
88,montreal-limousine.com,limo_services/casino.html,good,48,2,0,0,0,0,0,0
89,blog.rabbijason.com,2011/10/60-years-since-jewish-baseball-first.html,good,69,1,0,0,0,0,0,0
90,people.famouswhy.com,john_mankiewicz/,good,37,0,0,0,0,0,0,0
91,www.n3web.com.br,~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,bad,84,1,0,0,0,1,0,0
92,us.diablo.net.login.account.zh-tvu.in,login.html,bad,48,2,0,0,1,0,0,0
93,www.blogsaretta.135.it,,bad,23,0,0,0,0,0,0,0
94,alatheia.zenfs.com,18760/cache/artefacts/5ed5570e6f12eb938816fbac56888229,bad,73,1,0,0,0,0,0,0
95,www.formstack.com,forms/?1327468-D2qozQ0qyM,bad,43,0,0,0,0,0,0,0
96,ilike.com,artist/Bruce+Reitherman%252FPhil+Harris,good,49,2,0,0,0,0,0,0
97,sundownsfc.com,,good,15,0,0,0,0,0,0,0
98,babynamesworld.parentsconnect.com,category-moroccan-names.html,good,62,2,0,0,0,0,0,0
99,url.222bz.com,down/é­%94æ%96¹?ç½®å¤§?@34_47890.exe,bad,50,2,0,1,0,0,0,0
100,123people.ca,s/michele+gillis,good,29,0,0,0,0,0,0,0
101,bypetra.de,78yhuinFYs,bad,21,0,0,0,0,0,0,0
102,inspirasiproperty.com,wp-content/themes/webstat/finanzgruppe_volksbanken_ne,bad,75,1,0,0,0,0,0,0
103,'sevkon.net,js/?ref=3D3D3D3D3D3D3D3D3D3D3D3D3D3Dhttp\%3A\%2F\%2F=',bad,66,1,0,0,0,0,0,0
104,tvguide.com,celebrities/jamie-dixon/180661,good,42,0,0,0,0,0,0,0
105,6i3cb6owitcouepv.mywa2pay.com,img/rb.png,bad,40,0,0,0,0,0,0,0
106,wienu.com,ower/admin.php,bad,24,0,0,0,0,0,0,0
107,pay.70ccdc5297048e271fe27bba.bolagatobrasil.com.br,e9b8c713017d4f1e979/ssl/in/,bad,78,1,0,0,1,0,0,0
108,ohioroadraces.net,index.php?p=1_13_Kewpee-Information,good,53,2,0,0,0,0,0,0
109,www.csse.monash.edu.au,~bren/JSX/,good,33,0,0,0,1,0,0,0
110,hometracks.nascar.com,drivers/nwsmt/brian_loftin,good,48,2,0,0,0,0,0,0
111,facebook.com,people/Robert-Wertheimer/1479917129,good,48,2,0,0,0,0,0,0
112,uk.ask.com,wiki/U.S._Route_1_in_New_Jersey,good,42,0,0,0,0,0,0,0
113,ca.linkedin.com,in/claudedelorme,good,32,0,0,0,0,0,0,0
114,jpopcentral.yuku.com,topic/510/KAT-TUN-16th-Single-Run-For-You-3rd-August,good,73,1,0,0,0,0,0,0
115,mrjuvawlwa.xyz,checkupdate,bad,26,0,0,0,0,0,0,0
116,nbc.ca,bnc/cda/index/0%2C4229%2CdivId-2_langId-1_navCode-1000%2C00.html,good,71,1,0,0,0,0,0,0
117,godssimpleplan.org,,good,19,0,0,0,0,0,0,0
118,varsity.oaoa.com,articles/mertzon-9529-norwood-cory.html,good,56,2,0,0,0,0,0,0
119,freefox.com,mp3/akufen-wet-floors.htm,good,37,0,0,0,0,0,0,0
120,definitions.net,definition/telescopic,good,37,0,0,0,0,0,0,0
121,biography.com,people/ben-webster-37135,good,38,0,0,0,0,0,0,0
122,dels.nas.edu,global/besr/Uranium,good,32,0,0,0,0,0,0,0
123,movies.nytimes.com,movie/205753/Catherine-Cookson-s-The-Man-Who-Cried/overview,good,78,1,0,0,0,0,0,0
124,newyorkcityvisitorsnetwork.com,,good,31,0,0,0,0,0,0,0
125,cnd-m.org,en/stories/index.php,good,30,0,0,0,0,0,0,0
126,australiansafetypartners.com.au,Account/verification.php,bad,56,2,0,0,0,0,0,0
127,amediacanarias.com,87yfhc,bad,25,0,0,0,0,0,0,0
128,absoluteastronomy.com,topics/Mike_Dopud,good,39,0,0,0,0,0,0,0
129,familytreemaker.genealogy.com,users/c/a/m/Edward-G-Campbell-Sr/GENE0001-0003.html,good,81,1,0,0,0,0,0,0
130,davesgarden.com,guides/bf/go/1490/,good,34,0,0,0,0,0,0,0
131,en.wikipedia.org,wiki/Gilbert_Layton,good,36,0,0,0,0,0,0,0
132,assopeltro.com,09uhv65hg,bad,24,0,0,0,0,0,0,0
133,prnewswire.com,news-releases/ford-posts-full-year-profit-for-2009-fourth-quarter-2009-net-income-of-868-million-plans-to-be-profitable-in-2010-82881297.html,good,156,1,0,0,0,0,0,0
134,potbnb.com,dopbcp/assets/hot.htm,bad,32,0,0,0,0,0,0,0
135,paracompras.com,AAAAEEEE/dpbx/dpbx/,bad,35,0,0,0,0,0,0,0
136,tecnicana.org,crm/m/av/ac/ad/ec10292d0772ad142cbb0e99bb378d82/,bad,62,2,0,0,0,0,0,0
137,cnhedge.cn,js/index.htm?app=com-d3&amp;http://us.battle.net/login/en/?ref=http://cgtxambus.battle.net/d3/en/index,bad,113,1,1,0,0,1,0,0
138,pipl.com,directory/name/Crittenden/Albert,good,41,0,0,0,0,0,0,0
139,freetube.nl,dl2dq1zf,bad,20,0,0,0,0,0,0,0
140,luther.edu,catalog/1484.htm,good,27,0,0,0,0,0,0,0
141,www.01191.com,reminder/index.aspx,good,33,0,0,0,0,0,0,0
142,192.com,atoz/people/almond/paul/,good,32,0,0,0,0,0,0,0
143,legacy.com,obituaries/belleville/obituary.aspx?n=gladys-m-klein&pid=151683403,good,77,1,0,0,0,0,0,0
144,nfl.com,player/paulduhart/2513271/profile,good,41,0,0,0,0,0,0,0
145,s70.n57.n84.n66.static.myhostcenter.com,charset=iso-8859-1/GrammarState/Paragraphs,bad,82,1,0,0,1,0,0,0
146,upgrad-akdsn1-09172d-mnkanbajaa.tripod.com,,bad,43,0,0,0,0,0,0,1
147,youtube.com,watch?v=rphUVK5Q_r0,good,31,0,0,0,0,0,0,0
148,www.zminsoft.com,123cleaner,good,27,0,0,0,0,0,0,0
149,bleacherreport.com,articles/738369-2011-nhl-draft-12-best-drafts-in-nhl-history,good,79,1,0,0,0,0,0,0
150,letrs.indiana.edu,cgi/t/text/text-idx?c=wright2;cc=wright2;view=text;rgn=main;idno=wright2-2662,good,95,1,0,0,0,0,0,0
151,facebook.com,people/Francine-Fourmentin/100001012513777,good,55,2,0,0,0,0,0,0
152,predictiveanalyticsworld.com,london/2010/speakers.php,good,53,2,0,0,0,0,0,0
153,kpfa.org,archive/show/51,good,24,0,0,0,0,0,0,0
154,lulu.com,product/paperback/composition-rhetoric/1970008,good,55,2,0,0,0,0,0,0
155,alliedvisiontec.com,emea/products/cameras/firewire/stingray.html,good,64,2,0,0,0,0,0,0
156,www.comervillamil.com,vxogxma,bad,29,0,0,0,0,0,0,0
157,uwbadgers.com,sports/m-hockey/spec-rel/051309aaa.html,good,53,2,0,0,0,0,0,0
158,henanjf.com.cn,images/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,bad,91,1,0,0,0,1,0,0
159,filmbug.com,db/343366,good,21,0,0,0,0,0,0,0
160,sportsillustrated.cnn.com,vault/article/magazine/MAG1119644/index.htm,good,69,1,0,0,0,0,0,0
161,videosurf.com,Movies/EK,good,23,0,0,0,0,0,0,0
162,papers.ssrn.com,sol3/papers.cfm?abstract_id=1428971,good,51,2,0,0,0,0,0,0
163,rottentomatoes.com,celebrity/ashley_judd/,good,41,0,0,0,0,0,0,0
164,tihisdijust.ru,gate.php,bad,23,0,0,0,0,0,0,0
165,vancouversun.com,life/candles+giant+firm+Borden+Ladner+Gervais/5338747/story.html,good,81,1,0,0,0,0,0,0
166,espn.go.com,mlb/player/_/id/30042/john-mayberry-jr,good,50,2,0,0,0,0,0,0
167,youtube.com,watch?v=zHWs7q2_hTw,good,31,0,0,0,0,0,0,0
168,myspace.com,josiahjones,good,23,0,0,0,0,0,0,0
169,listenonline24.com,listen/Sunny_1013,good,36,0,0,0,0,0,0,0
170,seattlepi.nwsource.com,local/110297_spam27.shtml,good,48,2,0,0,0,0,0,0
171,hackeralbasrah.no-ip.biz:8888,None,bad,29,0,0,0,0,0,0,0
172,instantstamp.com,j50mt,bad,22,0,0,0,0,0,0,0
173,footballdb.com,players.html?letter=F,good,36,0,0,0,0,0,0,0
174,ffx2.com,voice,good,14,0,0,0,0,0,0,0
175,www.jixtobe.com,verificar/dados/cadastro-login/,bad,47,2,0,0,0,0,0,0
176,montreal.about.com,od/historypeopleplaces/ig/Mount-Royal-Cemetery/index.01.htm,good,78,1,0,0,0,0,0,0
177,twitter.com,AdamRussoxxx,good,24,0,0,0,0,0,0,0
178,uncgspartans.com,sports/mbkb/index,good,34,0,0,0,0,0,0,0
179,inlinehockeycentral.com,showthread.php?34355-Roller-players-in-ice-hockey,good,73,1,0,0,0,0,0,0
180,www.maasveren.nl,plugins/system/index.php,bad,41,0,0,0,0,0,0,0
181,busiclean.com,category/suit/alibaba/index.php,bad,45,0,0,0,0,0,0,0
182,userfb.wap-ka.com,index.xhtml,bad,29,0,0,0,0,0,0,0
183,goldstar.com,events/new-york-city-ny/the-heroes-of-woodstock,good,60,2,0,0,0,0,0,0
184,virtualtourist.com,travel/North_America/Canada/Province_of_Quebec/Quebec-905108/Things_To_Do-Quebec-Street_performers_artists-BR-1.html,good,135,1,0,0,0,0,0,0
185,www.paypal.ca.2023.secure4f.mx,images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=ab1d31ddec939e3e2fedc1337b4383cf,bad,103,1,0,0,1,0,1,0
186,manta.com,c/mmdhqx0/flat-river-concrete,good,39,0,0,0,0,0,0,0
187,kjablog.com,?p=1951,good,19,0,0,0,0,0,0,0
188,filmschoolrejects.com,reviews/review-atonement.php,good,50,2,0,0,0,0,0,0
189,islander.it,images/cani/frida/gdf5gdf4gd5g4d6f4g6d4g64fg6d4g6dgd5g4d4g6dg46d4gd4g6d46d4gdf5gdfg4fg4df4g6d4g6df4g6df44f6g4df646df4/33a8e05425b72954a9c44578a589df9c/Kreditkartel.php?cmd=_Profile-update&dispatch=a545376bfd8c95403dddcd16b6d5f304a545376bfd8c95403dddcd16b6d5f304,bad,273,1,0,0,0,0,0,0
190,answers.com,topic/jean-sylvain-bailly,good,37,0,0,0,0,0,0,0
191,sheilaesdance.com,,good,18,0,0,0,0,0,0,0
192,soccerlens.com,largest-football-stadiums/36427/,good,47,2,0,0,0,0,0,0
193,imortuary.com,funeral-homes/new-jersey/long-branch.php,good,54,2,0,0,0,0,0,0
194,blog.cleveland.com,metro/2011/04/george_voinovich_to_serve_as_c.html,good,68,1,0,0,0,0,0,0
195,picmovs.blogspot.com,2010/12/ce-quil-faut-pour-vivre-necessities-of.html,good,72,1,0,0,0,0,0,0
196,foodmoiet514.com,wp-content/newpage/form.php?.randinboxlight&amp;=&amp;email=&amp;fav.1=&amp;fid=1&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;randinboxlightaspxn.1774256418&amp;rand.13inboxlight.aspxn.1774256418www.calvinng.me/~izaara/wp-includes/theme-compat/secure-alert/manage,bad,293,1,0,0,0,1,0,0
197,usidentify.com,l/boniface,good,25,0,0,0,0,0,0,0
198,coursehero.com,textbooks/63212/Standard-Space-Systems-Structures-Structural-Components-and-Structural-Assemblies-9781563477706-156347770X/,good,138,1,0,0,0,0,0,0
199,www.japheth.de,JWasm.html,good,25,0,0,0,0,0,0,0
200,manta.com,c/mmcnwtz/senator-ellen-corbett,good,41,0,0,0,0,0,0,0
201,www.uae.com.br,noticias/modules/mod_yt_elo/cielo//index.html,bad,60,2,1,0,0,0,0,0
202,sourceforge.net,projects/treasureland/,good,38,0,0,0,0,0,0,0
203,ijoj2y.lucirabydevpps.info,v5je31iemb\n,bad,39,0,0,0,0,0,0,0
204,ridance.com,ks03.html,good,21,0,0,0,0,0,0,0
205,menedion.info,stats/main,bad,24,0,0,0,0,0,0,0
206,boyscouttrail.com,cub-scouts/wolf-scouts.asp,good,44,0,0,0,0,0,0,0
207,mls-rumors.net,15895/2011/03/report-whitecaps-fc-striker-omar-salgado-receives-fifa-exemption-gets-international-transfer-certificate,good,133,1,0,0,0,0,0,0
208,sportsmemorabilia.com,team/montreal_expos,good,41,0,0,0,0,0,0,0
209,magistrix.de,lyrics/Alicia%20Keys/No-One-224700.html,good,52,2,0,0,0,0,0,0
210,jambase.com,shows/Shows.aspx?ArtistID=&VenueID=11019&City=&State=&Zip=&StartDate=&EndDate=&Rec=False,good,100,1,0,0,0,0,0,0
211,markandsherin.blogspot.com,,good,27,0,0,0,0,0,0,0
212,5.196.200.247,apache_handler.php,bad,32,0,0,0,0,0,0,0
213,ecogiochi.it,watch/the-chronicles-of-narnia-the-voyage-of-the-dawn-treader-download,good,83,1,0,0,0,0,0,0
214,whales.org.au,faq/index.html,good,28,0,0,0,0,0,0,0
215,reuters.com,finance/stocks/overview?symbol=MACF.L,good,49,2,0,0,0,0,0,0
216,hotelsbruges.co.uk,,good,19,0,0,0,0,0,0,0
217,www.highendfinance.com,remax/remax/index.htm,bad,44,0,0,0,0,0,0,0
218,waatp.com,people/heather-m-stulken/37303944/,good,44,0,0,0,0,0,0,0
219,dmota.org,DFP/,bad,14,0,0,0,0,0,0,0
220,cduniverse.com,productinfo.asp?pid=8084875,good,42,0,0,0,0,0,0,0
221,aciaustralia.com.au,acu_checkin84265851,bad,39,0,0,0,0,0,0,0
222,aplistings.com,wp-content/plugins/telekom/telekom_deutschland_gmbh,bad,66,1,0,0,0,0,0,0
223,jigsaw.com,id677655/cbs_5_eyewitness_news_at_6_pm_kpix_tv_company.xhtml,good,71,1,0,0,0,0,0,0
224,mobileworld.darktech.org,,bad,25,0,0,0,0,0,0,0
225,maruti0s.com,adminx/tool/admin.php,bad,34,0,0,0,0,0,0,0
226,scatattack.wordpress.com,2008/07/21/2008-bohemian-grove-guest-list-obtained-by-911-truth-activists/,good,99,1,0,0,0,0,0,0
227,spokeo.com,Jesse+Stone,good,22,0,0,0,0,0,0,0
228,en.wikipedia.org,wiki/Offensive_coordinator,good,43,0,0,0,0,0,0,0
229,catholic-hierarchy.org,bishop/btiss.html,good,40,0,0,0,0,0,0,0
230,simple.wikipedia.org,wiki/Tochigi_Prefecture,good,44,0,0,0,0,0,0,0
231,magentaphoto.com,en/page.php?p=lunchboxcontestresults,good,53,2,0,0,0,0,0,0
232,mondoinfo.com,blog/C162926581/E20070521194905/index.html,good,56,2,0,0,0,0,0,0
233,lead411.com,company_Bernstein-Rein_370245.html,good,46,2,0,0,0,0,0,0
234,www.steam.zones.lt,,bad,19,0,0,0,0,0,0,0
235,vimeo.com,31943703,good,18,0,0,0,0,0,0,0
236,aww.moe,bj6g5v.rar,bad,18,0,0,0,0,0,0,0
237,surubiproducciones.com,wp/wp-includes/js/swfupload/jpg/art/new/,bad,63,2,0,0,0,0,0,0
238,handicapperspicks.com,denver-broncos-vs-jacksonville-jaguars-prediction-odds-september-12th-2010-2237.html,good,106,1,0,0,0,0,0,0
239,societe.wbconcept.net,wp-includes/SimplePie/share/2015/index.htm,bad,64,2,0,0,0,0,0,0
240,'www.111orld.com,images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',bad,119,1,0,0,0,1,0,0
241,paperphenomenonkits.blogspot.com,,good,33,0,0,0,0,0,0,0
242,gurmeet.net,hiking/lake-chabot-regional-park/,good,45,0,0,0,0,0,0,0
243,mychildshospital.org,,good,21,0,0,0,0,0,0,0
244,kcmo.org,CKCMO/Depts/WaterServices/index.htm,good,44,0,0,0,0,0,0,0
245,sbcspa.tripod.com,sbcs/,good,23,0,0,0,0,0,0,0
246,faprgrrgp.biz,data/info.php,bad,27,0,0,0,0,0,0,0
247,ncgenweb.us,brunswick/applewhite.html,good,37,0,0,0,0,0,0,0
248,www.hospitaljuangrande.es,administrator/cache/information.html.html,bad,67,1,0,0,0,0,0,0
249,template.bsd.uchicago.edu,accessibility.html,good,44,0,0,0,0,0,0,0
250,alanstrack.com,wp-content/0efe5d0abbaa82efd4bdab0b0a72d11b/,bad,59,2,0,0,0,0,0,0
251,muziekupdate.nl,0ftce4?XrUQTR=UKRrMw,bad,36,0,0,0,0,0,0,0
252,www.4u-byme.com,ay7ugmad,bad,24,0,0,0,0,0,0,0
253,craiggallivan.com,facte/,bad,24,0,0,0,0,0,0,0
254,www.hi.is,~paulr/,good,17,0,0,0,0,0,0,0
255,z2.inf.tu-dresden.de,dargie/class.htm,good,37,0,0,0,0,0,0,0
256,freebase.com,view/en/johnny_associates,good,38,0,0,0,0,0,0,0
257,money.cnn.com,magazines/fortune/fortune_archive/1986/03/17/67272/index.htm,good,74,1,0,0,0,0,0,0
258,superiorcoachservices.com,,good,26,0,0,0,0,0,0,0
259,176.99.11.154,module/ea9e5682a3cdff2a7bcbab3f5dfcb7bc,bad,53,2,0,0,0,0,0,0
260,rootsweb.ancestry.com,~deschart/z0001376.html,good,45,0,0,0,0,0,0,0
261,yellowpages.com,los-angeles-ca/disney-abc-domestic-television,good,61,2,0,0,0,0,0,0
262,edwardslowell.com,,good,18,0,0,0,0,0,0,0
263,globalgallery.com,search.php?af=galen+rowell,good,44,0,0,0,0,0,0,0
264,smutjunkies.com,profiles/r/t_stars/Russo_Adam/index.html,good,56,2,0,0,0,0,0,0
265,netherlands-icscards2016.it,ics/login/c4e7a347d50743999681f3dceb5b96ce/login.php?nl=_submit-verfied-run&amp;dispatch=gr505ze2f012dsnlx456dfrenl5ez1fnl510enl92e6de35731b7a3c43e078e775ee96b892e6de35731b7a3c43e078e775ee96b8,bad,220,1,0,0,0,0,0,0
266,trails.com,emeryville_california-hotels.html,good,44,0,0,0,0,0,0,0
267,metrotravelguide.com,hotels/silver_spring/md/usa/,good,49,2,0,0,0,0,0,0
268,nosorigines.qc.ca,genealogielistfirstname.aspx?ancestor=36&Family=Girard_532&lng=en,good,83,1,0,0,0,0,0,0
269,madamemaharaj.com,hotmanager/syix/Made-in-China.htm,bad,51,2,0,0,0,0,0,0
270,badgerlandautos.com,cgi-bin/DHL/DHL/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp;userid=abuse@casorganic.com,bad,121,1,0,1,0,0,0,0
271,confirm-security-block-fb.ch.gg,,bad,32,0,0,0,0,0,1,1
272,blog.syracuse.com,parish/index.html,good,35,0,0,0,0,0,0,0
273,samsung.com,us/video/tvs/UN55C7000WFXZA,good,39,0,0,0,0,0,0,0
274,us.battle.net.ok.hh-rs.com,login/en/login.html?app=wam&ref=worldofwarcraft.com/account/&eor=0&app=bam,bad,101,1,0,0,1,0,0,0
275,www.advocaciatrabalhista-ata.com.br,~mpolvora/accounts.department.online.team/webscr.php,bad,88,1,0,0,0,1,0,0
276,cvtrackclub.com,events/trailchallenge,good,37,0,0,0,0,0,0,0
277,snowdogs.co.za,wp-admin/includes/k/bill.html,bad,44,0,0,0,0,0,0,0
278,gaysexxxporn.com,tags/Jamie+Gold/,good,33,0,0,0,0,0,0,0
279,www.sxzzy.cn,jpkc/Images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&akjmpxzamp;ssl=0&dest,bad,100,1,0,0,0,1,0,0
280,en.wikipedia.org,wiki/Mount_Royal_Cemetery,good,42,0,0,0,0,0,0,0
281,wiki.answers.com,Q/How_old_is_tamara_rojo,good,41,0,0,0,0,0,0,0
282,en.wikipedia.org,wiki/Jane_Ace,good,30,0,0,0,0,0,0,0
283,aol.adminmailservers.com,dpbx/,bad,30,0,0,0,0,0,0,0
